title,year,pride,tags,source,demo,description,img,paper,attached,site_doc
Project Portfolio,2020,4,html; js; frontend; react,,__egg__,,,,,
Small Strange AdvenTure (SSAT),2015,6,vb; game; high_school,https://github.com/Daniel-Chin/SSAT,,,,,,
Poster for dorm,2018,6,art; processing; math; python,https://github.com/Daniel-Chin/Processing/blob/master/PosterForDorm/PosterForDorm_pde/PosterForDorm_pde.pyde,,,PosterFor1608.png,,,
WhereDitGo,2019,5,html; js; forsaken; frontend; backend,https://github.com/Daniel-Chin/WhereDitGo#where-ditgo,,,,,,
coffeetawk,2018,1,html; js; frontend; app_lab,https://github.com/Daniel-Chin/coffeetawk#coffeetawk,https://giphy.com/gifs/oymRyMemkmjrKxcVHk,,,,,
Socrates,2018,1,html; js; frontend; app_lab; firebase; colab; react,https://github.com/Daniel-Chin/Socrates#socrates,,Colab with Vincent Wu,,,,
js withDir,2019,2,js; lib,https://github.com/Daniel-Chin/garbage_js_code_base/blob/master/withDir.js,,,,,,
js Interactive Tester,2019,5,js; lib; vm; npm; dev_tool,https://github.com/Daniel-Chin/Interactive-JS-Tester#interactive-js-tester,,"Test the functions and objects you wrote in a real-time terminal shell, analogous to `IPython.embed()`.",,,,
js Linked File List,2019,6,js; lib; npm; database,https://github.com/Daniel-Chin/LinkedFileList#double-linked-file-list,,"Each entry is a file, with id as its filename. A simple database solution, but highly scalable.",,,,
Dice Simulation,2019,6,matlab; processing; simulation; colab; peskin; research,https://github.com/Daniel-Chin/DiceSim#dice-simulation,https://youtu.be/lm123dN5NC0,Colab with Michael Li,,,,
NYU login page verify,2019,5,js; chrome_extension,https://github.com/Daniel-Chin/NYULoginPageVerify#nyu-login-page-verify,https://chrome.google.com/webstore/detail/nyu-login-page-verify/iocemmjdkjlfpnjdhofljbolljfeifdj,"Let this Chrome extension check whether the URL is ""https://shibboleth.nyu.edu/""",nyu_login_verify.png,,,
Droplet on a wall,2020,6,research,,https://youtu.be/-dizYKs2uFI?t=5,Not public info yet,droplet_wall.png,,,
World of Blogs,2019,6,html; js; frontend; backend; firebase; user_auth; security; express; react,https://github.com/Daniel-Chin/WorldOfBlogs#world-of-blogs,https://world-of-blogs.herokuapp.com/,A blog platform that fights the info cacoon effect. Supervised by James Ayres,worldOfBlog_singout.png,,,
Nozomi.la AI,2020,6,ai; html; js; python; backend; frontend; recommendation_algo; user_preferences; hci,https://github.com/Daniel-Chin/nozomi.la-AI,,,,,,
Shape of Chords,2020,6,p5.js; music; frontend; hci,https://github.com/daniel-chin/shape-of-chords#shape-of-chords,https://upbeat-volhard-31fdb8.netlify.app/,Visualize chords on the complex plane using Fourier transform at root frequency.,shape_of_chord.png,,,
Daniel's Funplex on Ice,2020,3,minecraft; not_coding; game,https://github.com/Daniel-Chin/myMinecraftWorlds/blob/master/Daniel's%20Funplex%20on%20Ice.mcworld,,A funplex in Minecraft,,,,
"What Features Drive Demand High? Airbnb in New York, Fitting a Demand Surface",2020,5,ai; machine_learning; colab; data_sci; colab; paper,,,"Colab with Andrew Liu, Wnedi Tang",,airbnb.pdf,,
OPEC Auction Assistant,2020,2,html; hci; js,https://github.com/Daniel-Chin/opec/tree/master/auction_assistant,,,,,,
Grandfather Paradox Solved with Mixed Strategy Equilibrium,2020,6,not_coding; game_theory; time_travel; paper,,,,,grandpa.pdf,,
_December 2018,2018,1,game; python; under_construction; hci,https://github.com/Daniel-Chin/december2018,,,,,,
SCP 294 NLP AI,2020,5,ai; nlp; scp; gpt-2; hci,https://github.com/Daniel-Chin/SCP-294-NLP-AI#predicting-the-result-of-consuming-liquid-from-scp-294-using-gpt-2,,Predicts the result of consuming liquid from SCP 294 using GPT-2,,,,
Incubus M.D.,2019,4,game; game_maker_lang; colab; game_jam,https://github.com/Daniel-Chin/ok#incubus-md,,"Colab with Zane Fadul, Andrew Liu, Vera Zhong, Thomas Tai",,,,
Wage Simulation,2019,6,matlab; econ; peskin; simulation; paper,https://github.com/Daniel-Chin/WageSim,,,,wage_sim.pdf,,
Tinder vs Bumble,2020,4,not_coding; video; colab,,https://www.youtube.com/watch?v=AgMrl5ueot0,"Colab with Alex Zhao, Brielle Albert, Doraian, Rosalane Chow, Yolanda Liu",,,,
Do Details Make People Buy into Bullshit?,2018,4,psychology; python; cross_platform; tkinter; music,https://github.com/Daniel-Chin/Sound-Perception-Experiment#do-details-make-people-buy-into-bullshit,,,,,,
Redstone: 5-bit password,2020,3,minecraft; not_coding; game; redstone,,https://youtu.be/TAs_eDUG32Y,,,,,
Mario XP,2018,3,music; audacity; game; joke,,https://youtu.be/VYBsNTBjYeM,,,,,
Spaghetti chat room,2018,4,python; js; html; backend; frontend,https://github.com/Daniel-Chin/spaghetti-chat-room#spaghetti-chat-room,,,,,,
Beat Swap Zane Fadul,2020,5,music; python; jupyter_notebook; computer_music,https://github.com/Daniel-Chin/beat-swap/blob/main/main.ipynb,https://www.youtube.com/playlist?list=PLNb0mNThMXbn8XxE6-FwoaHdPxsVBg858,,beat_swap.png,,,
Simplinstrument,2019,6,colab; music; arduino; computer_music; processing; python; distributed_app; gui_2_api; 3d_print; hci,https://github.com/Daniel-Chin/Interaction_Lab-NYU_Shanghai/tree/master/Final_project,https://wp.nyu.edu/shanghai-ima-documentation/foundations/interaction-lab/nq285/final-project-simplinstrument-by-daniel-chin/,You control the electronic musical instrument by moving your hand while breathing into a mouthpiece. Colab with Tristan Murdoch,simplinstrument.png,,,
Rotating Huskies,2019,3,processing; dog; joke,,https://wp.nyu.edu/shanghai-ima-documentation/foundations/interaction-lab/nq285/recitation-11-midea-manipulation-workshop-by-daniel-chin/,,,,,
